"Libelle";"Code"
"Autres sources d’énergie pour les systèmes de chauffage et de refroidissement (ND)";"04.5.5.0"
"Meubles, articles de ménage et entretien courant du foyer";"05"
"Meubles, articles d’ameublement et tapis";"05.1"
"Meubles, articles d’ameublement et tapis (D)";"05.1.1"
"Meubles de maison (D)";"05.1.1.1"
"Mobilier de chambre";"05.1.1.1.1"
"Tables et chaises de salle à manger et de salon";"05.1.1.1.2"
"Mobilier de cuisine et de salle de bains";"05.1.1.1.3"
"Fauteuils et canapés";"05.1.1.1.4"
"Autres meubles de maison";"05.1.1.1.5"
"Meubles de jardin et de camping (D)";"05.1.1.2"
"Appareils d’éclairage (D)";"05.1.1.3"
"Articles d’ameublement, tapis et moquettes (D)";"05.1.1.4"
"Réparation, installation et location de meubles, d’articles d’ameublement et de tapis (S)";"05.1.2"
"Réparation, installation et location de meubles, d’articles d’ameublement et de tapis (S)";"05.1.2.0"
"Articles de ménage en textiles";"05.2"
"Articles de ménage en textiles (SD)";"05.2.1"
"Tissus d’ameublement et rideaux (SD)";"05.2.1.1"
"Linge de lit et literie (SD)";"05.2.1.2"
"Linge de table et linge de toilette (SD)";"05.2.1.3"
"Autres articles de ménage en textiles (SD)";"05.2.1.9"
"Réparation, location et confection d’articles de ménage en textiles (S)";"05.2.2"
"Réparation, location et confection d’articles de ménage en textiles (S)";"05.2.2.0"
"Appareils ménagers";"05.3"
"Gros appareils ménagers, électriques ou autres (D)";"05.3.1"
"Gros appareils de cuisine (D)";"05.3.1.1"
"Réfrigérateurs, congélateurs";"05.3.1.1.1"
"Lave-vaisselle";"05.3.1.1.2"
"Appareils de cuisson";"05.3.1.1.3"
"Autres gros appareils de cuisine";"05.3.1.1.4"
"Gros appareils d’entretien du linge (D)";"05.3.1.2"
"Appareils de chauffage et de climatisation (D)";"05.3.1.3"
"Matériel de nettoyage (D)";"05.3.1.4"
"Autres gros appareils ménagers (D)";"05.3.1.9"
"Petits appareils ménagers (SD)";"05.3.2"
"Petits appareils pour la cuisine ou la préparation d’aliments (SD)";"05.3.2.1"
"Appareil de transformation d’aliments";"05.3.2.1.1"
"Autres petits appareils électroménagers pour la préparation culinaire";"05.3.2.1.2"
"Petits appareils pour la préparation de boissons (SD)";"05.3.2.2"
"Autres petits appareils ménagers (SD)";"05.3.2.9"
"Appareils de ventilation";"05.3.2.9.1"
"Autres petits appareils ménagers (SD)";"05.3.2.9.2"
"Réparation, installation et location d’appareils ménagers (S)";"05.3.3"
"Réparation, installation et location d’appareils ménagers (S)";"05.3.3.0"
"Verrerie, vaisselle et ustensiles de ménage";"05.4"
"Verrerie, vaisselle et ustensiles de ménage (SD)";"05.4.0"
"Verrerie, cristallerie, céramique et porcelaine (SD)";"05.4.0.1"
"Articles de coutellerie, couverts et argenterie (SD)";"05.4.0.2"
"Ustensiles et articles de cuisine (SD)";"05.4.0.3"
"Réparation et location de verrerie, de vaisselle et d’ustensiles de ménage (S)";"05.4.0.4"
"Outillage et matériel pour la maison et le jardin";"05.5"
"Outillage et matériel motorisés (D)";"05.5.1"
"Outillage et matériel motorisés (D)";"05.5.1.0"
"Outillage non motorisé et accessoires divers (SD)";"05.5.2"
"Outillage non motorisé (SD)";"05.5.2.1"
"Accessoires divers (SD)";"05.5.2.2"
"Réparation et location d’outillage et de matériel motorisés et non motorisés (S)";"05.5.3"
"Réparation et location d’outillage et de matériel motorisés et non motorisés (S)";"05.5.3.0"
"Biens et services liés à l’entretien courant du foyer";"05.6"
"Articles ménagers non durables (ND)";"05.6.1"
"Produits de nettoyage et d’entretien ménagers (ND)";"05.6.1.1"
"Autres articles de ménage non durables (ND)";"05.6.1.9"
"Services domestiques et services aux ménages (S)";"05.6.2"
"Services domestiques fournis par du personnel salarié (S)";"05.6.2.1"
"Autres services domestiques (S)";"05.6.2.9"
"Santé";"06"
"Médicaments et produits de santé";"06.1"
"Médicaments (ND)";"06.1.1"
"Médicaments, vaccins et autres préparations pharmaceutiques (ND)";"06.1.1.1"
"Médicaments à base de plantes et produits homéopathiques (ND)";"06.1.1.2"
"Produits médicaux (ND)";"06.1.2"
"Produits de diagnostic médical (ND)";"06.1.2.1"
"Dispositifs de prévention et de protection (ND)";"06.1.2.2"
"Dispositifs de traitement à usage personnel (ND)";"06.1.2.3"
"Produits d’assistance (D)";"06.1.3"
"Produits d’assistance à la vision (D)";"06.1.3.1"
"Produits d’assistance à l’audition et la communication (D)";"06.1.3.2"
"Produits d’assistance à la mobilité et à la vie quotidienne (D)";"06.1.3.3"
"Réparation, location et entretien de produits médicaux et d’assistance (S)";"06.1.4"
"Réparation, location et entretien de produits médicaux et d’assistance (S)";"06.1.4.0"
"Services de soins ambulatoires";"06.2"
"Services de soins préventifs (S)";"06.2.1"
"Services de vaccination (S)";"06.2.1.1"
"Autres services de soins préventifs (S)";"06.2.1.9"
"Services dentaires ambulatoires (S)";"06.2.2"
"Services dentaires préventifs (S)";"06.2.2.1"
"Autres services dentaires ambulatoires (S)";"06.2.2.9"
"Autres services de soins ambulatoires (S)";"06.2.3"
"Services de soins curatifs et de réadaptation ambulatoires (S)";"06.2.3.1"
"Services de soins de longue durée ambulatoires (S)";"06.2.3.2"
"Services de soins hospitaliers";"06.3"
"Services de soins curatifs et de réadaptation hospitaliers (S)";"06.3.1"
"Services de soins curatifs et de réadaptation hospitaliers (S)";"06.3.1.0"
"Services de soins de longue durée hospitaliers (S)";"06.3.2"
"Services de soins de longue durée hospitaliers (S)";"06.3.2.0"
"Autres services de santé";"06.4"
"Services d’imagerie diagnostique et de laboratoires d’analyses médicales (S)";"06.4.1"
"Services d’imagerie diagnostique et de laboratoires d’analyses médicales (S)";"06.4.1.0"
"Services de transport d’urgence des patients et de secours d’urgence (S)";"06.4.2"
"Services de transport d’urgence des patients et de secours d’urgence (S)";"06.4.2.0"
"Transports";"07"
"Achats de véhicules";"07.1"
"Automobiles (D)";"07.1.1"
"Automobiles neuves (D)";"07.1.1.1"
"Automobiles d’occasion (D)";"07.1.1.2"
"Motocycles (D)";"07.1.2"
"Motocycles (D)";"07.1.2.0"
"Bicyclettes (D)";"07.1.3"
"Bicyclettes (D)";"07.1.3.0"
"Véhicules à traction animale (D)";"07.1.4"
"Véhicules à traction animale (D)";"07.1.4.0"
"Dépenses d’utilisation des véhicules";"07.2"
"Pièces et accessoires pour véhicules personnels (SD)";"07.2.1"
"Pneus (SD)";"07.2.1.1"
"Pièces pour véhicules personnels (SD)";"07.2.1.2"
"Accessoires pour véhicules personnels (SD)";"07.2.1.3"
"Casque de protection";"07.2.1.3.1"
"Siège-auto pour bébé";"07.2.1.3.2"
"Accessoires divers pour véhicules";"07.2.1.3.3"
"Carburants et lubrifiants pour véhicules personnels (ND)";"07.2.2"
"Gazole (ND)";"07.2.2.1"
"Essence (ND)";"07.2.2.2"
"Autres carburants pour véhicules personnels (ND)";"07.2.2.3"
"Lubrifiants (ND)";"07.2.2.4"
"Entretien et réparation de véhicules personnels (S)";"07.2.3"
"Entretien et réparation de véhicules personnels (S)";"07.2.3.0"
"Entretien de véhicules particuliers";"07.2.3.0.1"
"Réparation de véhicules particuliers";"07.2.3.0.2"
"Autres services relatifs au matériel de transport personnel (S)";"07.2.4"
"Services de parkings et de stationnement (S)";"07.2.4.1"
"Péages (S)";"07.2.4.2"
"Cours de conduite, permis de conduire et contrôles techniques automobiles (S)";"07.2.4.3"
"Auto-école et examen de permis de conduire";"07.2.4.3.1"
"Formalités administratives liées au véhicule personnel";"07.2.4.3.2"
"Location de véhicules personnels sans chauffeur (S)";"07.2.4.4"
"Services de transport de passagers";"07.3"
"Transport de passagers par chemin de fer (S)";"07.3.1"
"Transport de passagers par train (S)";"07.3.1.1"
"Transport de passagers par métro et tramway (S)";"07.3.1.2"
"Transport routier de passagers (S)";"07.3.2"
"Transport de passagers par autobus et autocar (S)";"07.3.2.1"
"Transport de passagers par taxi et location de voitures avec chauffeur (S)";"07.3.2.2"
"Ramassage scolaire (S)";"07.3.2.3"
"Autres transports de passagers par route (S)";"07.3.2.9"
"Transport aérien de passagers (S)";"07.3.3"
"Transport aérien intérieur de passagers (S)";"07.3.3.1"
"Transport aérien international de passagers (S)";"07.3.3.2"
"Transport de passagers par mer et voies navigables intérieures (S)";"07.3.4"
"Transport de passagers par mer et voies navigables intérieures (S)";"07.3.4.0"
"Transport combiné de passagers (S)";"07.3.5"
"Transport combiné de passagers (S)";"07.3.5.0"
"Autres services de transport de passagers (S)";"07.3.6"
"Autres services de transport de passagers (S)";"07.3.6.0"
"Services de transport de marchandises";"07.4"
"Services postaux et de coursiers (S)";"07.4.1"
"Service d’expédition du courrier (S)";"07.4.1.1"
"Services de coursiers et de livraison de colis (S)";"07.4.1.2"
"Autres transports de marchandises (S)";"07.4.9"
"Services de déménagement et d’entreposage (S)";"07.4.9.1"
"Livraison de marchandises (S)";"07.4.9.2"
"Information et communication";"08"
"Matériel d’information et de communication";"08.1"
"Matériel de téléphonie fixe (D)";"08.1.1"
"Matériel de téléphonie fixe (D)";"08.1.1.0"
"Matériel de téléphonie mobile (D)";"08.1.2"
"Matériel de téléphonie mobile (D)";"08.1.2.0"
"Matériel de traitement de l’information (D)";"08.1.3"
"Ordinateurs y compris portables et tablettes (D)";"08.1.3.1"
"Équipements périphériques et leurs composants consommables (D)";"08.1.3.2"
