libelle;code;url;description;comprend;ne_comprend_pas
Lait d’origine non animale (ND);01.1.4.4;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.4.4;Lait d'origine non animale sous toutes ses formes;lait d'amandes lait de noix de coco à boire lait d’avoine lait de riz lait de soja autres laits végétaux;lait de coco pour la cuisson ( 01.1.9.3
Lait d’origine non animale;01.1.4.4.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.4.4.1;Lait d'origine non animale sous toutes ses formes;lait d'amandes lait de noix de coco à boire lait d’avoine lait de riz lait de soja autres laits végétaux;lait de coco pour la cuisson ( 01.1.9.3
Fromage (ND);01.1.4.5;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.4.5;Tous les types de fromages (frais à pâte dure, semi-dure, bleu et cottage) et la caillebotte, à partir de lait animal et non animal.;petits suisses nature ou aromatisés, fromage blanc, caillebotte, faisselle, etc. fromage à pâte molle ou à pâte persillée (camembert, coulommiers, brie, fromage à pâte persillée, etc.) fromage à pâte pressée (emmental français, comté, fromages de Hollande, fromage pâte pressée non cuite, etc.) fromages de chèvre divers (pyramide, bûches, crottins, etc.) fromages fondus divers (portion, morceau, etc.);tofu ( 01.1.7.9
Fromage frais;01.1.4.5.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.4.5.1;;petits suisses nature ou aromatisés, fromage blanc, caillebotte, faisselle, etc.;
Fromage à pâte molle et à pâte persillée;01.1.4.5.2;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.4.5.2;;fromage à pâte molle ou à pâte persillée (camembert, coulommiers, brie, fromage à pâte persillée, etc.);
Fromage à pâte pressée;01.1.4.5.3;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.4.5.3;;fromage à pâte pressée (emmental français, comté, fromages de Hollande, fromage pâte pressée non cuite, etc.);
Fromage de chèvre;01.1.4.5.4;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.4.5.4;;fromages de chèvre divers (pyramide, bûches, crottins, etc.);
Fromage fondu;01.1.4.5.5;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.4.5.5;;fromages fondus divers (portion, morceau, etc.);
Yaourt et produits similaires (ND);01.1.4.6;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.4.6;;yaourt babeurre et autres produits laitiers fermentés lait caillé et crème caillée kéfir et autres laits et crèmes fermentés ou acidifiés, qu’ils soient concentrés ou contiennent des sucres ajoutés ou d'autres édulcorants, qu’ils soient aromatisés ou contiennent des fruits, des fruits à coque ou du cacao yaourt à base de lait d’origine non animale (tel que yaourt au lait de coco et yaourt au lait de soja);yaourt glacé ( 01.1.8.6
Yaourt et produits similaires;01.1.4.6.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.4.6.1;;yaourt babeurre et autres produits laitiers fermentés lait caillé et crème caillée kéfir et autres laits et crèmes fermentés ou acidifiés, qu’ils soient concentrés ou contiennent des sucres ajoutés ou d'autres édulcorants, qu’ils soient aromatisés ou contiennent des fruits, des fruits à coque ou du cacao yaourt à base de lait d’origine non animale (tel que yaourt au lait de coco et yaourt au lait de soja);yaourt glacé ( 01.1.8.6
Desserts et boissons à base de lait (ND);01.1.4.7;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.4.7;;desserts lactés contenant du lait d’origine animale ou non animale boissons lactées contenant du lait d’origine animale ou non animale, aromatisées au cacao, café ou autres substances puddings à base de lait contenant du lait d'origine animale ou non animale, de la panna cotta, de la crème brûlée ou de la crema catalana;lemon curd et similaires ( 01.1.8.3
Desserts et boissons à base de lait;01.1.4.7.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.4.7.1;;desserts lactés contenant du lait d’origine animale ou non animale boissons lactées contenant du lait d’origine animale ou non animale, aromatisées au cacao, café ou autres substances puddings à base de lait contenant du lait d'origine animale ou non animale, de la panna cotta, de la crème brûlée ou de la crema catalana;lemon curd et similaires ( 01.1.8.3
Œufs (ND);01.1.4.8;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.4.8;;œufs de poules et autres oiseaux en coquille, frais œufs d’autres animaux, y compris œufs de tortue, en coquille, frais œufs en coquille ou non, en conserve ou cuits jaunes d’oeufs, frais ou en conserve albumine;œufs de poisson ( 01.1.3.7 omelettes, crêpes et autres produits alimentaires prêts à l'emploi à base d'œufs ( 01.1.9.1
Œufs;01.1.4.8.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.4.8.1;;œufs de poules et autres oiseaux en coquille, frais œufs d’autres animaux, y compris œufs de tortue, en coquille, frais œufs en coquille ou non, en conserve ou cuits jaunes d’oeufs, frais ou en conserve albumine;œufs de poisson ( 01.1.3.7 omelettes, crêpes et autres produits alimentaires prêts à l'emploi à base d'œufs ( 01.1.9.1
Autres produits laitiers (ND);01.1.4.9;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.4.9;;lactosérum et caséine autres produits dérivés du lait, protéines de lait concentrées, et autres produits dévrivés du lactosérum;beurre et autres huiles et matières grasses provenant du lait ( 01.1.5.2 glaces ( 01.1.8.6
Autres produits laitiers;01.1.4.9.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.4.9.1;;lactosérum et caséine autres produits dérivés du lait, protéines de lait concentrées, et autres produits dérivés du lactosérum;beurre et autres huiles et matières grasses provenant du lait ( 01.1.5.2 glaces ( 01.1.8.6
Huiles et graisses (ND);01.1.5;https://www.insee.fr/fr/metadonnees/coicop2018/classe/01.1.5;;;
Huiles végétales (ND);01.1.5.1;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.5.1;Toutes les huiles d'origine végétale, y compris les huiles extraites de fruits, de noix et d'autres cultures.;huile de tournesol et de carthame huile de palme et d’olive huile de soja huile de noix huile de colza et de moutarde huile de maïs huile de coton autres huiles d’origine végétale huile de coco huile d'avocat huile de son de riz;
Huile d’olive;01.1.5.1.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.5.1.1;;huile d’olive;
Autres huiles végétales;01.1.5.1.9;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.5.1.9;;huile de tournesol et de carthame huile de palme huile de soja huile de noix huile de colza et de moutarde huile de maïs huile de coton autres huiles d’origine végétale huile de coco huile d'avocat huile de son de riz;
Beurre et autres huiles et matières grasses provenant du lait (ND);01.1.5.2;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.5.2;;beurre huile provenant du lait ghee;
Beurre et autres huiles et matières grasses provenant du lait;01.1.5.2.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.5.2.1;;beurre huile provenant du lait ghee;
Margarine et préparations similaires (ND);01.1.5.3;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.5.3;;margarine margarine allégée;beurre d'arachide ( 01.1.8.4
Margarine et préparations similaires;01.1.5.3.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.5.3.1;;margarine margarine allégée;beurre d'arachide ( 01.1.8.4
Autres huiles et graisses animales (ND);01.1.5.9;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.5.9;;graisse et saindoux de porc, y compris aromatisées graisse alimentaire de bovins, buffles, ovins, caprins et volaille graisse alimentaire de crevettes huiles et graisses de poisson;huile de foie de morue ou de foie de flétan ( 06.1.1.1
Autres huiles et graisses animales;01.1.5.9.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.5.9.1;;graisse et saindoux de porc, y compris aromatisées graisse alimentaire de bovins, buffles, ovins, caprins et volaille graisse alimentaire de crevettes huiles et graisses de poisson;huile de foie de morue ou de foie de flétan ( 06.1.1.1
Fruits et fruits à coque (ND);01.1.6;https://www.insee.fr/fr/metadonnees/coicop2018/classe/01.1.6;;;
Dattes, figues et fruits tropicaux, frais (ND);01.1.6.1;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.6.1;;dattes figues avocats bananes mangues, goyaves et mangoustans papayes ananas noix de coco fruits de l’arbre à pain autres fruits tropicaux et sub-tropicaux, frais;bananes plantains et bananes à cuire ( 01.1.7.5
Dattes, figues et fruits tropicaux, frais;01.1.6.1.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.6.1.1;;dattes figues avocats bananes mangues, goyaves et mangoustans papayes ananas noix de coco fruits de l’arbre à pain autres fruits tropicaux et sub-tropicaux, frais;bananes plantains et bananes à cuire ( 01.1.7.5
Agrumes frais (ND);01.1.6.2;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.6.2;;oranges pomelos et pamplemousses citrons et limes tangerines mandarines et clémentines autres agrumes, frais;
Agrumes frais;01.1.6.2.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.6.2.1;;oranges pomelos et pamplemousses citrons et limes tangerines mandarines et clémentines autres agrumes, frais;
Fruits à noyau et fruits à pépins, frais (ND);01.1.6.3;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.6.3;;pommes poires et coings abricots cerises et cerises aigres pêches et nectarines prunes et prunelles autres fruits à pépins et fruits à noyaux, frais;
Fruits à noyau et fruits à pépins, frais;01.1.6.3.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.6.3.1;;pommes poires et coings abricots cerises et cerises aigres pêches et nectarines prunes et prunelles autres fruits à pépins et fruits à noyaux, frais;
Baies fraîches (ND);01.1.6.4;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.6.4;;groseilles et groseilles à maquereau framboises mûres fraises autres baies, frais;
Baies fraîches;01.1.6.4.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.6.4.1;;groseilles et groseilles à maquereau framboises mûres fraises autres baies, frais;
Autres fruits, frais (ND);01.1.6.5;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.6.5;;raisins kiwis melons pastèques grenades autres fruits ou mélanges de fruits, frais, n.c.a.;
Autres fruits, frais;01.1.6.5.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.6.5.1;;raisins kiwis melons pastèques grenades autres fruits ou mélanges de fruits, frais, n.c.a.;
Fruits surgelés (ND);01.1.6.6;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.6.6;Fruits, cuits ou non, congelés, même s’ils contiennent des sucres ajoutées ou d'autres édulcorants.;;
Fruits surgelés;01.1.6.6.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.6.6.1;Fruits, cuits ou non, congelés, même s’ils contiennent des sucres ajoutées ou d'autres édulcorants.;;
Fruits séchés et déshydratés (ND);01.1.6.7;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.6.7;;raisins pruneaux abricots secs noix de coco séchées autres fruits séchés;farine de fruits ( 01.1.6.9
Fruits séchés et déshydratés;01.1.6.7.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.6.7.1;;raisins pruneaux abricots secs noix de coco séchées autres fruits séchés;farine de fruits ( 01.1.6.9
Fruits à coque, non décortiqués ou décortiqués (ND);01.1.6.8;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.6.8;;amandes noix de cajou chataîgnes noisettes pistaches noix noix du brésil arachides autres fruits à coque, non décortiqués ou décortiqués;
Fruits à coque, non décortiqués ou décortiqués;01.1.6.8.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.6.8.1;;amandes noix de cajou chataîgnes noisettes pistaches noix noix du brésil arachides autres fruits à coque, non décortiqués ou décortiqués;
Fruits et fruits à coque, moulus ou dans d’autres préparations (ND);01.1.6.9;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.6.9;Préparations à base de fruits, congelées ou non.;farine à base de fruit et de fruit à coque fruits à coque, arachides et autres graines, grillés, salés ou dans d’autres préparations fruits en conserve préparations homogénéisées à base de fruits fruits en pickles;confitures, marmelades, gelées de fruits, purées et pâtes de fruits ( 01.1.8.3 purées de fruits à coque, beurres de fruits à coque et pâtes de fruits à coque ( 01.1.8.4 préparations homogénéisées pour aliments pour bébés ( 01.1.9.2
Fruits et fruits à coque, moulus ou dans d’autres préparations;01.1.6.9.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.6.9.1;Préparations à base de fruits, congelées ou non.;farine à base de fruit et de fruit à coque fruits à coque, arachides et autres graines, grillés, salés ou dans d’autres préparations fruits en conserve préparations homogénéisées à base de fruits fruits en pickles;confitures, marmelades, gelées de fruits, purées et pâtes de fruits ( 01.1.8.3 purées de fruits à coque, beurres de fruits à coque et pâtes de fruits à coque ( 01.1.8.4 préparations homogénéisées pour aliments pour bébés ( 01.1.9.2
Légumes, tubercules, bananes plantains, bananes à cuire et légumineuses (ND);01.1.7;https://www.insee.fr/fr/metadonnees/coicop2018/classe/01.1.7;;;
Légumes à feuilles ou à tiges, frais ou réfrigérés (ND);01.1.7.1;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.7.1;;asperges choux choux-fleur et brocoli laitue et chicorée épinard artichauts autres légumes à feuilles ou à tiges, frais ou réfrigérés;
Légumes à feuilles ou à tiges, frais ou réfrigérés;01.1.7.1.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.7.1.1;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Légumes à fruits, frais ou réfrigérés (ND);01.1.7.2;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.7.2;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Légumes à fruits, frais ou réfrigérés;01.1.7.2.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.7.2.1;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Légumes à cosse verts, frais ou réfrigérés (ND);01.1.7.3;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.7.3;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
